GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E3N001,E3N002,E3N003,E3N004,E3N005,E3N006,E3N007,E3N008,E3N009
GIS Join Match Code,Data File Year,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,Reservation/Trust Lands Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,County Name,County Code,County Subdivision Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,5-Digit ZIP Code Code,Congressional District (103rd) Code,Area Name/PSAD Term/Part Indicator,Native (001-099): Born in State of residence,"Native (001-099): Born in other State in the United States (001-059): Northeast (009, 023, 025, 033-034, 036, 042-044, 050)","Native (001-099): Born in other State in the United States (001-059): Midwest (017-020, 026-027, 029, 031, 038-039, 046, 055)","Native (001-099): Born in other State in the United States (001-059): South (001, 005, 010-014, 021-022, 024, 028, 037, 040, 045, 047-048, 051-052, 054)","Native (001-099): Born in other State in the United States (001-059): West (002-004, 006-008, 015-016, 030, 032, 035, 041, 049, 053, 056-059)",Native (001-099): Born outside the United States (060-099): Puerto Rico (072-075),"Native (001-099): Born outside the United States (060-099): U.S. outlying area (060-071, 076-099)",Native (001-099): Born outside the United States (060-099): Born abroad of American parent(s),Foreign born (100-999)
"G0101030","1990",,,,,,,,,,"Morgan","103",,"6","2030",,"9999","3","Alabama","01",,,,,"Morgan County",74364,1483,7188,14185,1468,31,15,590,719
"G0101050","1990",,,,,,,,,,"Perry","105",,"6","9999",,"9999","3","Alabama","01",,,,,"Perry County",11609,127,285,494,125,0,0,23,96
"G0101070","1990",,,,,,,,,,"Pickens","107",,"6","9999",,"9999","3","Alabama","01",,,,,"Pickens County",16823,204,695,2798,133,12,7,11,16
"G0101090","1990",,,,,,,,,,"Pike","109",,"6","9999",,"9999","3","Alabama","01",,,,,"Pike County",23028,338,535,3155,202,19,0,80,238
"G0101110","1990",,,,,,,,,,"Randolph","111",,"6","9999",,"9999","3","Alabama","01",,,,,"Randolph County",15433,206,272,3779,47,12,21,45,66
"G0101130","1990",,,,,,,,,,"Russell","113",,"6","1800",,"9999","3","Alabama","01",,,,,"Russell County",24880,1155,1340,17637,863,40,34,371,540
"G0101150","1990",,,,,,,,,,"St Clair","115",,"6","1000",,"9999","3","Alabama","01",,,,,"St. Clair County",41923,678,1665,4929,498,5,0,147,164
"G0101170","1990",,,,,,,,,,"Shelby","117",,"6","1000",,"9999","3","Alabama","01",,,,,"Shelby County",69261,3307,5931,17391,1694,14,2,553,1205
"G0101190","1990",,,,,,,,,,"Sumter","119",,"6","9999",,"9999","3","Alabama","01",,,,,"Sumter County",12548,227,664,2556,101,0,0,18,60
"G0101210","1990",,,,,,,,,,"Talladega","121",,"6","9999",,"9999","3","Alabama","01",,,,,"Talladega County",64149,803,1674,6335,471,22,0,220,433
"G0101230","1990",,,,,,,,,,"Tallapoosa","123",,"6","9999",,"9999","3","Alabama","01",,,,,"Tallapoosa County",33794,548,941,2959,292,11,43,84,154
"G0101250","1990",,,,,,,,,,"Tuscaloosa","125",,"6","8600",,"9999","3","Alabama","01",,,,,"Tuscaloosa County",116314,3266,6619,19153,2203,60,37,731,2139
"G0101270","1990",,,,,,,,,,"Walker","127",,"6","1000",,"9999","3","Alabama","01",,,,,"Walker County",58452,398,2589,5312,524,6,0,153,236
"G0101290","1990",,,,,,,,,,"Washington","129",,"6","9999",,"9999","3","Alabama","01",,,,,"Washington County",13848,107,237,2254,201,0,0,15,32
"G0101310","1990",,,,,,,,,,"Wilcox","131",,"6","9999",,"9999","3","Alabama","01",,,,,"Wilcox County",12581,157,117,614,61,18,0,14,6
"G0101330","1990",,,,,,,,,,"Winston","133",,"6","9999",,"9999","3","Alabama","01",,,,,"Winston County",18164,89,1337,2167,216,0,0,19,61
"G0200130","1990",,,,,,,,,,"Aleutians East","013",,"9","9999",,"9999","4","Alaska","02",,,,,"Aleutians East Borough",1090,47,131,110,473,0,5,40,568
"G0200160","1990",,,,,,,,,,"Aleutians West","016",,"9","9999",,"9999","4","Alaska","02",,,,,"Aleutians West Census Area",1340,889,1394,1596,2817,22,54,215,1151
"G0200200","1990",,,,,,,,,,"Anchorage","020",,"9","0380",,"9999","4","Alaska","02",,,,,"Anchorage Borough",60246,17340,38405,36665,55874,370,394,3685,13359
"G0200500","1990",,,,,,,,,,"Bethel","050",,"9","9999",,"9999","4","Alaska","02",,,,,"Bethel Census Area",11653,210,562,338,755,2,3,16,117
"G0200600","1990",,,,,,,,,,"Bristol Bay Borough","060",,"9","9999",,"9999","4","Alaska","02",,,,,"Bristol Bay Borough",542,54,265,182,333,0,0,13,21
"G0200700","1990",,,,,,,,,,"Dillingham","070",,"9","9999",,"9999","4","Alaska","02",,,,,"Dillingham Census Area",3082,99,302,96,398,2,0,9,24
"G0200900","1990",,,,,,,,,,"Fairbanks North Star","090",,"9","9999",,"9999","4","Alaska","02",,,,,"Fairbanks North Star Borough",20148,6755,15408,13460,17196,171,73,1613,2896
"G0201000","1990",,,,,,,,,,"Haines","100",,"9","9999",,"9999","4","Alaska","02",,,,,"Haines Borough",659,138,329,126,799,0,0,13,53
"G0201100","1990",,,,,,,,,,"Juneau","110",,"9","9999",,"9999","4","Alaska","02",,,,,"Juneau Borough",9230,1621,3487,2130,8625,21,0,339,1298
"G0201220","1990",,,,,,,,,,"Kenai Peninsula","122",,"9","9999",,"9999","4","Alaska","02",,,,,"Kenai Peninsula Borough",12745,2572,6809,4551,12502,9,17,521,1076
"G0201300","1990",,,,,,,,,,"Ketchikan Gateway","130",,"9","9999",,"9999","4","Alaska","02",,,,,"Ketchikan Gateway Borough",4904,582,1772,775,5180,0,7,110,498
"G0201500","1990",,,,,,,,,,"Kodiak Island","150",,"9","9999",,"9999","4","Alaska","02",,,,,"Kodiak Island Borough",4181,1083,1605,1454,3484,16,10,172,1304
"G0201640","1990",,,,,,,,,,"Lake And Peninsula","164",,"9","9999",,"9999","4","Alaska","02",,,,,"Lake and Peninsula Borough",1364,25,86,25,129,0,0,4,35
"G0201700","1990",,,,,,,,,,"Matanuska-Susitna","170",,"9","9999",,"9999","4","Alaska","02",,,,,"Matanuska-Susitna Borough",12632,2841,7786,4329,10851,37,11,428,768
"G0201800","1990",,,,,,,,,,"Nome","180",,"9","9999",,"9999","4","Alaska","02",,,,,"Nome Census Area",6518,135,549,288,656,11,0,24,107
"G0201850","1990",,,,,,,,,,"North Slope","185",,"9","9999",,"9999","4","Alaska","02",,,,,"North Slope Borough",4421,137,346,195,622,0,0,35,223
"G0201880","1990",,,,,,,,,,"Northwest Arctic","188",,"9","9999",,"9999","4","Alaska","02",,,,,"Northwest Arctic Borough",5268,88,234,128,347,0,0,19,29
"G0202010","1990",,,,,,,,,,"Prince Of Wales-Outer Ketchikan","201",,"9","9999",,"9999","4","Alaska","02",,,,,"Prince of Wales-Outer Ketchikan Census Area",2590,113,452,259,2724,0,7,37,96
"G0202200","1990",,,,,,,,,,"Sitka","220",,"9","9999",,"9999","4","Alaska","02",,,,,"Sitka Borough",3238,375,1099,608,2884,7,0,54,323
"G0202310","1990",,,,,,,,,,"Skagway-Yakutat-Angoon","231",,"9","9999",,"9999","4","Alaska","02",,,,,"Skagway-Yakutat-Angoon Census Area",2074,165,398,193,1388,2,4,60,101
