Alabama,Total for selected values,"1,000,184","955,684","921,007","891,594","856,972","783,954","823,420","830,538","915,653","881,351","816,280","768,350","717,625","676,183","682,671","680,023","672,021","621,171","561,844","548,333","545,491","587,234","541,861","481,947","468,425","446,131","417,655","393,550","393,171","397,550","363,089","322,959","280,888","250,052","198,664","170,808","143,198","144,058","146,547","143,199","144,217","127,746","126,587","120,257","127,034","113,723","107,747"
Rhode Island,217402,928,"1,103",939,"1,129","1,268",-,966,-,773,954,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rhode Island,217420,"8,440","8,433","8,365","9,386","9,619","8,621","10,206","10,389","8,181",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rhode Island,217484,"102,521","94,879","94,370","92,416","89,540","88,451","100,140","114,323","104,598","93,659",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rhode Island,217493,914,946,"1,006","1,011",967,-,-,-,562,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rhode Island,217518,"1,649","1,759","2,735","2,304","2,241","2,467","2,148","2,596","2,677","2,047",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rhode Island,217536,-,-,-,-,-,-,-,-,328,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rhode Island,432320,"4,505","4,785","3,928","3,030","2,532","2,639","2,653","2,938",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rhode Island,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"288,858","279,392","274,766","298,737","257,871","250,424","226,668","201,170","178,751","166,114","158,265","148,744","150,414","146,572","138,322","144,688","149,730","143,346","134,370","129,783","130,023","131,299","114,847","107,303","103,712","93,151","90,227","90,268","89,124","82,552","77,970","67,376","64,409","51,335","52,699","49,657","55,336"
South Carolina,Total for selected values,"661,386","668,590","647,717","648,617","634,915","632,482","636,958","636,534","632,435","687,141","659,889","625,621","629,116","594,172","574,828","553,644","549,561","493,489","452,945","376,902","350,765","330,053","303,926","307,072","316,872","291,081","269,051","251,111","234,966","220,754","199,544","174,948","169,896","157,733","128,401","115,173","105,976","97,514","85,587","81,249","78,643","65,507","65,216","63,316","61,363","50,887","44,340"
South Carolina,217721,"1,130","1,756","1,553","1,560","1,310","2,391","2,618","2,754","3,067","1,595",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Carolina,217819,"6,775","6,697","8,270","9,618","10,122","9,678","10,048","9,579","8,480","14,793",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Carolina,217864,-,-,-,-,-,-,-,-,423,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Carolina,217873,"1,554","1,370","1,260","1,673","1,198","1,753","2,615","5,255","5,543","3,384",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Carolina,217882,"194,750","193,824","179,038","173,659","163,391","155,353","149,815","142,096","169,541","181,762",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Carolina,217907,-,-,-,-,-,-,-,-,250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Carolina,218061,-,-,-,-,-,-,-,-,279,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Carolina,218070,"1,449","1,874","1,900","1,764","1,840","1,543","2,161","2,049","2,226","2,405",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Carolina,218335,"263,157","256,291","242,956","245,527","232,405","233,984","241,218","236,586","217,438","233,722",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Carolina,218645,"2,209","2,363","2,743","1,364","1,101","1,093","1,286",-,764,351,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Carolina,218654,-,-,-,-,851,-,-,-,899,481,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Carolina,218663,"183,337","187,374","193,306","197,547","199,197","198,855","199,857","214,901","205,458","238,418",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Carolina,218724,"1,818","1,481","1,754","1,679","1,777","2,089","2,473","2,412","2,203","2,501",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Carolina,218733,"3,257","13,738","13,247","12,343","12,031","12,258","12,588","12,909","10,230","7,457",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Carolina,218742,-,-,-,-,-,-,-,-,447,272,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Carolina,218964,"1,949","1,822","1,692","1,881","9,692","13,485","12,279","7,993","5,187",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Carolina,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"659,889","625,621","629,116","594,172","574,828","553,644","549,561","493,489","452,945","376,902","350,765","330,053","303,926","307,072","316,872","291,081","269,051","251,111","234,966","220,754","199,544","174,948","169,896","157,733","128,401","115,173","105,976","97,514","85,587","81,249","78,643","65,507","65,216","63,316","61,363","50,887","44,340"
South Dakota,Total for selected values,"105,385","105,203","104,602","100,950","98,644","101,237","115,337","129,200","138,919","136,473","116,590","98,314","89,390","82,713","80,641","69,822","60,547","47,438","40,730","35,336","33,847","33,838","33,446","35,238","30,260","31,313","32,741","27,586","24,708","22,956","20,680","21,232","20,277","19,950","16,956","16,220","20,427","23,309","21,285","25,388","24,797","24,550","25,144","24,744","22,564","24,651","27,215"
South Dakota,219000,749,"1,062","1,123",-,746,"1,067","1,027","1,160","1,608",949,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Dakota,219046,"1,808","1,426","1,954","2,674","2,319","2,296","3,008","2,466","1,675","3,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Dakota,219082,"3,303","3,286","2,116","2,049","1,099","1,395","1,547","5,709","1,034",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Dakota,219277,-,-,-,-,-,-,-,-,302,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Dakota,219347,"11,549","13,704","14,397","14,533","14,286","10,150","11,946","19,140","32,685","29,728",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Dakota,219356,"59,463","57,627","58,743","57,278","55,705","56,264","62,742","68,743","71,016","70,286",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Dakota,219374,-,-,-,-,-,455,"2,452",-,842,655,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Dakota,219383,-,-,-,-,-,-,-,-,243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Dakota,219471,"28,513","28,097","26,270","24,415","24,488","29,610","32,615","31,982","29,514","31,855",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Dakota,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"116,590","98,314","89,390","82,713","80,641","69,822","60,547","47,438","40,730","35,336","33,847","33,838","33,446","35,238","30,260","31,313","32,741","27,586","24,708","22,956","20,680","21,232","20,277","19,950","16,956","16,220","20,427","23,309","21,285","25,388","24,797","24,550","25,144","24,744","22,564","24,651","27,215"
Tennessee,Total for selected values,"1,190,448","1,174,893","1,096,633","1,030,669","1,027,847","1,093,146","1,014,322","1,025,283","1,036,419","976,206","926,506","883,721","864,742","857,214","865,258","805,626","750,435","606,124","536,734","519,091","486,727","460,584","446,435","437,138","432,417","438,080","406,116","391,479","371,363","355,707","340,024","325,093","278,273","245,619","220,228","187,676","178,761","175,634","193,647","180,819","188,679","145,425","137,556","139,141","134,492","126,715","139,662"
Tennessee,219602,"2,034","2,401","1,977","1,721","2,016","1,931","2,031","2,124","2,222",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tennessee,219833,-,-,-,-,-,-,-,-,199,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tennessee,220075,"12,639","12,751","8,794","7,535","6,613","7,558","8,765","11,213","10,446","10,268",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tennessee,220181,"4,227","2,533","4,648","10,039","9,404","8,751","6,452","4,058","4,942","8,012",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tennessee,220604,-,-,-,-,-,-,-,-,213,737,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tennessee,220792,"16,279","15,418","15,546","13,941","13,358","18,323","22,143","25,559","29,612","28,094",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tennessee,220862,"52,257","58,383","46,036","45,614","44,542","53,594","47,311","51,194","49,248","51,521",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tennessee,220978,"6,831","6,476","4,367","5,819","4,151","4,180","5,619","7,108","5,064","4,987",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tennessee,221351,-,-,-,-,-,-,-,-,803,837,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tennessee,221519,-,-,-,662,"1,064","1,175",-,927,"1,037",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tennessee,221670,-,-,-,-,-,-,-,-,400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tennessee,221740,"8,261","6,887","5,884","5,286","6,505","6,018","7,709","10,896","9,428","11,184",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tennessee,221759,"220,508","235,728","188,794","173,001",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tennessee,221768,-,-,-,-,-,-,-,580,"1,256","1,211",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tennessee,221838,"13,564","16,055","16,775","18,426","19,043","19,356","15,898","15,439","13,726","12,935",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tennessee,221847,"12,286","11,591","11,190","10,882","10,576","9,739","9,547","10,233","13,501","17,432",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tennessee,221999,"691,666","670,681","659,609","604,941","618,212","659,617","561,744","560,466","576,887","525,394",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tennessee,487010,"86,335","72,151","67,989","67,539",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tennessee,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"926,506","883,721","864,742","857,214","865,258","805,626","750,435","606,124","536,734","519,091","486,727","460,584","446,435","437,138","432,417","438,080","406,116","391,479","371,363","355,707","340,024","325,093","278,273","245,619","220,228","187,676","178,761","175,634","193,647","180,819","188,679","145,425","137,556","139,141","134,492","126,715","139,662"
Tennessee,No match or exact match for IPEDS UnitID,"63,560","63,838","65,024","65,263","292,363","302,906","327,102","325,486","317,436","303,595",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,Total for selected values,"5,312,289","5,103,366","5,069,216","4,959,946","4,806,210","4,724,582","4,730,036","4,651,322","4,750,923","4,595,043","4,350,491","4,104,237","3,818,411","3,746,177","3,631,282","3,500,543","3,441,885","3,127,922","2,822,215","2,609,833","2,396,195","2,254,616","2,192,938","2,124,963","2,101,853","2,134,036","2,063,344","1,935,079","1,877,689","1,792,625","1,679,417","1,531,645","1,439,411","1,316,547","1,178,388","1,069,785","1,017,962","944,062","915,343","832,288","812,475","745,643","693,575","654,673","591,593","561,239","549,313"
Texas,222178,-,-,-,-,-,-,-,-,496,689,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,222831,-,-,748,-,-,921,-,954,"1,224","1,132",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,222983,-,-,-,-,-,-,-,-,221,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,223214,-,-,-,-,-,-,-,"82,833","76,395","84,918",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,223223,"580,370","566,055","560,410","540,453","496,447","478,698","500,023","474,700","475,000","465,999",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,223232,"29,649","28,998","27,235","25,267","23,516","19,993","13,381","10,161","12,580","11,367",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,224147,"29,328","27,470","25,932","23,397","23,387","20,564","17,118","15,776","17,845","17,965",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,224323,-,-,-,-,-,-,-,-,173,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,224554,"3,030","3,115","3,916","2,778","3,583","2,732","2,497","2,279","2,285","2,787",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,225414,"1,220","1,136","1,648","1,490","1,465","1,655","1,515","1,769","1,779","1,331",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,225432,"1,973","2,277","2,221","1,684","2,347","2,328","1,419","2,267","1,377","1,054",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,225511,"173,952","161,159","156,956","152,971","143,744","135,607","128,587","116,288","115,890","124,660",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,225627,"1,602","1,215",-,-,809,-,-,-,680,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,225885,-,-,-,-,-,-,-,-,210,225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,226091,"4,316","3,264","3,597","2,627","2,695","2,360","2,560","3,589","4,853","6,065",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,226152,"5,402","5,207","4,396","3,532","2,784","3,319","3,611","3,344","3,181","2,526",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,226231,-,-,-,-,-,-,-,-,811,804,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,226833,-,-,-,-,-,-,-,-,-,362,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,227216,"70,054","39,976","40,565","35,027","41,634","42,612","48,664","46,943","43,290","32,771",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,227368,"46,307","24,630","27,328","29,270","10,751","11,322","9,262","9,062","8,838","9,045",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,227377,-,-,-,-,"5,561","7,137","10,206","8,318","7,635","7,165",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,227526,"16,040","15,689","12,953","11,909","12,523","11,856","12,970","14,552","15,535","13,073",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,227757,"162,527","146,946","154,960","145,885","138,067","133,619","128,744","117,223","112,349","101,865",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,227845,"8,591","9,472","9,402","8,803","9,080","3,834","7,901","5,906","7,297",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,227881,"8,408","6,494","3,389","3,083","2,945","3,854","4,529","4,349","5,928","7,861",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228149,-,-,-,-,-,-,-,-,575,515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228246,"37,891","28,276","27,679","30,036","27,944","31,251","22,155","24,397","24,922","19,500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228343,-,-,-,-,-,-,-,-,486,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228431,"3,275","3,029","3,406","4,483","4,934","4,145","4,532","5,495","6,162","9,496",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228459,"57,469","58,406","56,269","51,256","45,514","37,871","36,414","36,664","34,129","31,797",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228501,"2,094","2,664","2,316","1,902","2,103","2,438","2,122","2,375","3,244","3,162",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228529,"11,725","11,353","10,091","8,877","9,376","10,606","9,554","9,393","10,626","11,199",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228635,"442,183","430,637","427,795","417,867","418,770","419,201","433,020","435,085","440,166","436,185",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228644,"167,796","162,734","156,742","183,967","162,496","166,586","172,948","184,298","202,465","215,497",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228653,"156,124","165,106","171,477","169,483","165,577","171,696","177,090","180,888","197,267","196,023",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228705,"19,824","19,205","20,967","20,115","19,939","21,045","18,331","17,419","17,442","18,081",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228714,-,-,-,-,-,-,-,"5,834",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228723,"847,654","837,355","838,804","842,707","827,072","823,895","805,872","693,421","719,255","717,532",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228769,"109,685","95,967","90,040","82,491","74,243","86,010","85,239","78,556","73,873","74,304",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228778,"619,710","617,254","604,167","586,864","576,757","564,479","623,195","621,538","644,296","613,358",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228787,"112,760","102,892","104,870","100,255","94,047","96,187","97,137","90,700","95,018","85,364",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228796,"95,086","82,659","87,602","86,214","85,332","76,714","81,813","79,649","75,490","71,657",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228802,"1,837","1,660","1,702","2,685","4,399","6,649","5,225","8,520","2,819","5,909",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228875,"5,833","5,274","6,721","6,220","7,641","7,593","8,426","7,775","5,702","5,521",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,228909,"44,623","44,950","44,907","47,734","44,218","45,334","44,130","46,865","46,824","40,435",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,229018,-,607,"1,067","1,474","1,646","1,478","1,126","1,707","1,256","1,474",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,229027,"75,071","65,997","64,997","56,479","52,438","45,391","52,701","57,233","59,792","58,556",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,229063,"4,356","3,396","4,374","4,243","4,776","5,824","6,435","6,380","6,439","7,286",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,229115,"172,639","168,657","177,383","162,856","156,407","153,654","140,215","138,026","152,264","138,757",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,229179,"3,986","4,378","3,773","2,845","2,204","2,556","2,657","4,129","2,975","2,363",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,229267,"3,326","2,946","3,033","2,250","2,513","2,886","3,041","1,611","1,381","1,505",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,229300,"241,724","234,642","227,943","223,738","223,592","225,441","229,233","236,250","266,181","250,516",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
